Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Ted Lindsay,24,DET,LW,69,23,55,78,141,19,4,0,4,41,14,0,,,"ASG,ASnhl-1,Hart-7,Ross-1"
Sid Abel,31,DET,C,69,34,35,69,46,23,11,0,3,22,13,0,,,"ASG,ASnhl-1,Hart-4"
Gordie Howe,21,DET,RW,70,35,33,68,69,30,5,0,4,21,12,0,,,"ASG,ASnhl-2"
Maurice Richard,28,MTL,RW,70,43,22,65,114,30,13,0,8,16,6,0,,,"ASG,ASnhl-1,Hart-3"
Paul Ronty,21,BOS,C,70,23,36,59,8,17,6,0,0,35,1,0,,,"ASG,Byng-3"
Roy Conacher,33,CBH,LW,70,25,31,56,16,23,2,0,3,23,8,0,,,
Doug Bentley,33,CBH,C,63,20,33,53,28,15,5,0,3,25,8,0,,,ASG
Johnny Peirson,24,BOS,RW,57,27,25,52,49,23,4,0,5,21,4,0,,,ASG
Bep Guidolin,24,CBH,LW,70,17,34,51,42,15,2,0,1,27,6,1,,,
Metro Prystai,22,CBH,C,65,29,22,51,31,21,8,0,4,21,1,0,,,ASG
Bert Olmstead,23,CBH,RW,70,20,29,49,40,18,2,0,3,23,6,0,,,Calder-2
Elmer Lach,32,MTL,C,64,15,33,48,33,8,6,1,5,26,7,0,,,
Phil Maloney,22,BOS,C,70,15,31,46,6,12,3,0,0,28,3,0,,,Calder-2
Bill Mosienko,28,CBH,RW,69,18,28,46,10,15,3,0,0,21,7,0,,,ASG
Billy Reay,31,MTL,C,68,19,26,45,48,13,6,0,3,19,7,0,,,
Sid Smith,24,TOR,LW,68,22,23,45,6,16,6,0,3,20,3,0,,,"ASG,Byng-5"
Ted Kennedy,24,TOR,C,53,20,24,44,34,18,2,0,2,18,6,0,,,"ASG,ASnhl-2,Hart-2"
Edgar Laprade,30,NYR,C,60,22,22,44,2,17,5,0,4,18,4,0,,,"ASG,Byng-1,Hart-7"
Tony Leswick,26,NYR,LW,69,19,25,44,87,14,5,0,3,17,8,0,,,"ASG,ASnhl-2"
