Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wayne Gretzky,25,EDM,C,80,52,163,215,71,46,38,11,3,6,105,43,15,350,14.9,,,"ASG,ASnhl-1,Byng-7,Hart-1,Ross-1,Selke-24"
Mario Lemieux,20,PIT,C,79,48,93,141,-8,43,31,17,0,4,44,49,0,276,17.4,,,"ASG,ASnhl-2,Byng-20,Hart-2,Pearson-1"
Paul Coffey,24,EDM,D,79,48,90,138,61,120,30,9,9,2,60,25,5,308,15.6,,,"ASG,ASnhl-1,Hart-4,Norris-1"
Jari Kurri,25,EDM,RW,78,68,63,131,45,22,46,16,6,9,41,18,4,236,28.8,,,"ASG,ASnhl-2,Byng-2,Selke-5"
Mike Bossy,29,NYI,RW,80,61,62,123,30,14,39,21,1,9,43,18,1,302,20.2,,,"ASG,ASnhl-1,Byng-1,Hart-6"
Peter Šťastný,29,QUE,C,76,41,81,122,2,60,26,15,0,8,41,40,0,207,19.8,,,"ASG,ASnhl-3,Hart-7"
Denis Savard,24,CBH,C,80,47,69,116,10,111,32,14,1,8,43,25,1,281,16.7,,,"ASG,ASnhl-4"
Mats Näslund,26,MTL,LW,80,43,67,110,11,16,24,19,0,7,36,31,0,225,19.1,,,"ASG,ASnhl-2,ASnhl-11,Byng-3"
Neal Broten,26,MNS,C,80,29,76,105,14,47,23,6,0,0,44,32,0,193,15.0,,,"ASG,ASnhl-7,Byng-12,Hart-8"
Dale Hawerchuk,22,WIN,C,80,46,59,105,-27,44,26,18,2,2,33,25,1,313,14.7,,,"ASG,ASnhl-9"
Michel Goulet,25,QUE,LW,75,53,51,104,7,64,25,28,0,3,28,23,0,244,21.7,,,"ASG,ASnhl-1"
Glenn Anderson,25,EDM,RW,72,54,48,102,38,90,34,18,2,9,33,15,0,242,22.3,,,"ASG,ASnhl-3,ASnhl-9"
Bernie Federko,29,STL,C,80,34,68,102,11,34,18,16,0,2,44,24,0,166,20.5,,,"Byng-5,Hart-10"
Troy Murray,23,CBH,C,80,45,54,99,32,94,31,9,5,7,39,14,1,196,23.0,,,"ASnhl-5,Hart-10,Selke-1"
Bernie Nicholls,24,LAK,C,80,36,61,97,-5,78,22,10,4,0,44,17,0,281,12.8,,,
Brian Propp,26,PHI,LW,72,40,57,97,22,47,27,11,2,5,26,25,6,317,12.6,,,"ASG,ASnhl-4,Hart-10"
Bryan Trottier,29,NYI,C,78,37,59,96,30,72,31,5,1,3,35,24,0,185,20.0,,,"ASG,ASnhl-7,Selke-10"
Marcel Dionne,34,LAK,C,80,36,58,94,-22,42,25,11,0,4,36,20,2,283,12.7,,,Byng-12
Joe Mullen,28,2TM,RW,77,44,46,90,-1,21,30,14,0,8,24,22,0,202,21.8,,,"ASnhl-4,Byng-8"
Joe Mullen,28,STL,RW,48,28,24,52,-3,10,19,9,0,4,11,13,0,141,19.9,,,
Joe Mullen,28,CGY,RW,29,16,22,38,2,11,11,5,0,4,13,9,0,61,26.2,,,
Dino Ciccarelli,25,MNS,RW,75,44,45,89,12,51,25,19,0,5,36,9,0,262,16.8,,,ASnhl-5
Dave Andreychuk,22,BUF,RW,80,36,51,87,3,61,24,12,0,3,33,18,0,226,15.9,,,
Bobby Smith,27,MTL,C,79,31,55,86,10,57,26,5,0,7,38,17,0,202,15.3,,,
Keith Crowder,27,BOS,RW,78,38,46,84,16,177,18,20,0,4,29,17,0,181,21.0,,,
Tim Kerr,26,PHI,RW,76,58,26,84,-2,79,24,34,0,7,10,16,0,285,20.4,,,"ASG,ASnhl-3,Hart-8"
Mark Messier,25,EDM,C,63,35,49,84,35,70,20,10,5,7,33,13,3,198,17.7,,,"ASG,Selke-16"
Mike Bullard,24,PIT,C,77,41,42,83,-17,69,23,16,2,5,24,16,2,216,19.0,,,
Dave Christian,26,WSH,RW,80,41,42,83,2,15,21,18,2,4,22,17,3,218,18.8,,,"ASnhl-9,Byng-6"
Mark Howe,30,PHI,D,77,24,58,82,87,36,13,4,7,3,36,19,3,193,12.4,,,"ASG,ASnhl-2,Byng-4,Hart-3,Norris-2"
Larry Robinson,34,MTL,D,78,19,63,82,25,39,9,10,0,1,31,32,0,167,11.4,,,"ASG,ASnhl-3,Byng-14,Hart-10,Norris-3"
Ken Linseman,27,BOS,C,64,23,58,81,15,95,15,8,0,3,30,28,0,132,17.4,,,
Mike Foligno,27,BUF,RW,79,41,39,80,27,168,33,7,1,4,26,11,2,222,18.5,,,ASnhl-6
Brian Bellows,21,MNS,RW,77,31,48,79,16,46,18,11,2,2,31,16,1,256,12.1,,,ASnhl-8
Eddie Olczyk,19,CBH,RW,79,29,50,79,4,47,20,8,1,1,33,14,3,218,13.3,,,
Sylvain Turgeon,21,HAR,LW,76,45,34,79,1,88,32,13,0,5,20,14,0,249,18.1,,,"ASG,ASnhl-5"
Petri Skriko,23,VAN,LW,80,38,40,78,-18,34,25,12,1,2,22,14,4,191,19.9,,,
Greg Adams,22,NJD,C,78,35,42,77,-7,30,25,10,0,2,31,11,0,202,17.3,,,
Ray Bourque,25,BOS,D,74,19,58,77,17,68,8,11,0,3,22,34,2,289,6.6,,,"ASG,ASnhl-4,Hart-10,Norris-4"
Ray Ferraro,21,HAR,C,76,30,47,77,10,57,16,14,0,0,32,15,0,131,22.9,,,
Ron Francis,22,HAR,C,53,24,53,77,5,24,16,7,1,4,27,25,1,120,20.0,,,"ASnhl-8,Hart-10"
Scott Bjugstad,24,MNS,LW,80,43,33,76,6,24,27,14,2,7,20,11,2,217,19.8,,,ASnhl-8
Steve Larmer,24,CBH,RW,80,31,45,76,11,47,17,13,1,3,27,16,2,184,16.8,,,
Barry Pederson,24,BOS,C,79,29,47,76,17,60,17,12,0,6,27,20,0,192,15.1,,,
Al Secord,27,CBH,LW,80,40,36,76,10,201,28,12,0,3,19,17,0,210,19.0,,,
Ilkka Sinisalo,27,PHI,LW,74,39,37,76,16,31,19,19,1,7,24,13,0,184,21.2,,,
Miroslav Fryčer,26,TOR,RW,73,32,43,75,-27,74,25,7,0,3,26,17,0,201,15.9,,,
Mike Gartner,26,WSH,RW,74,35,40,75,-5,63,22,11,2,4,20,20,0,279,12.5,,,"ASG,ASnhl-11"
Bengt-Åke Gustafsson,27,WSH,C,70,23,52,75,9,26,11,8,4,6,28,23,1,113,20.4,,,"ASnhl-6,Selke-4"
Craig Laughlin,28,WSH,RW,75,30,45,75,24,43,20,10,0,4,27,18,0,114,26.3,,,
Mark Hunter,23,STL,RW,78,44,30,74,13,171,31,11,2,3,23,7,0,204,21.6,,,"ASG,ASnhl-6"
Anton Šťastný,26,QUE,RW,74,31,43,74,6,19,23,8,0,4,29,14,0,163,19.0,,,
John Anderson,28,2TM,LW,79,29,45,74,18,28,17,9,3,6,22,22,1,239,12.1,,,
John Anderson,28,QUE,RW,65,21,28,49,0,26,10,8,3,5,11,16,1,190,11.1,,,
John Anderson,28,HAR,LW,14,8,17,25,18,2,7,1,0,1,11,6,0,49,16.3,,,
Tom Fergus,23,TOR,C,78,31,42,73,-24,64,26,3,2,3,31,10,1,168,18.5,,,
Alan Haworth,25,WSH,C,71,34,39,73,36,72,27,7,0,5,31,8,0,194,17.5,,,Selke-17
Dan Quinn,20,CGY,C,78,30,42,72,-11,44,10,17,3,3,22,19,1,191,15.7,,,
Tony Tanti,22,VAN,RW,77,39,33,72,-8,85,22,17,0,5,16,16,1,213,18.3,,,ASG
Kjell Dahlin,22,MTL,RW,77,32,39,71,9,4,18,14,0,3,23,16,0,172,18.6,,,"AR-1,Byng-19,Calder-3"
Lanny McDonald,32,CGY,RW,80,28,43,71,-2,44,17,11,0,3,25,18,0,227,12.3,,,
Dave Taylor,30,LAK,RW,76,33,38,71,-15,110,22,11,0,1,28,10,0,204,16.2,,,ASG
Doug Shedden,24,2TM,RW,78,34,37,71,-10,34,13,21,0,5,22,15,0,212,16.0,,,
Doug Shedden,24,PIT,RW,67,32,34,66,-9,32,13,19,0,5,20,14,0,179,17.9,,,
Doug Shedden,24,DET,RW,11,2,3,5,-1,2,0,2,0,0,2,1,0,33,6.1,,,
Dale Hunter,25,QUE,C,80,28,42,70,7,265,21,7,0,4,36,6,0,151,18.5,,,Selke-24
John Ogrodnick,26,DET,LW,76,38,32,70,-29,18,22,15,1,2,18,14,0,208,18.3,,,"ASG,ASnhl-7"
Laurie Boschman,25,WIN,C,77,27,42,69,-27,241,22,3,2,2,30,12,0,158,17.1,,,
Kelly Kisio,26,DET,C,76,21,48,69,-19,85,11,7,3,0,30,18,0,140,15.0,,,
Dave Poulin,27,PHI,C,79,27,42,69,21,49,19,2,6,2,31,7,4,181,14.9,,,"ASG,Selke-8"
Dave Babych,24,2TM,D,81,14,55,69,1,50,4,9,1,2,25,27,3,205,6.8,,,"ASnhl-11,Norris-6"
Dave Babych,24,WIN,D,19,4,12,16,-1,14,2,2,0,0,7,5,0,53,7.5,,,
Dave Babych,24,HAR,D,62,10,43,53,2,36,2,7,1,2,18,22,3,152,6.6,,,
Kevin Dineen,22,HAR,RW,57,33,35,68,15,124,27,6,0,8,27,7,1,167,19.8,,,"ASnhl-11,Hart-10"
Curt Fraser,28,CBH,LW,61,29,39,68,11,84,22,7,0,1,27,12,0,143,20.3,,,
Al MacInnis,22,CGY,D,77,11,57,68,37,76,7,4,0,0,17,39,1,241,4.6,,,ASnhl-16
Gary Suter,21,CGY,D,80,18,50,68,11,141,9,9,0,4,19,30,1,195,9.2,,,"ASG,ASnhl-12,AR-1,Calder-1"
John Tonelli,28,2TM,LW,74,23,45,68,21,60,19,4,0,2,30,15,0,157,14.6,,,
John Tonelli,28,NYI,LW,65,20,41,61,22,50,17,3,0,1,26,15,0,139,14.4,,,
