Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Martin St. Louis,37,TBL,RW,48,17,43,60,0,14,14,3,0,2,26,17,0,112,15.2,192,1055:12,21:59,12,16,42.9,32,23,43,40,"ASnhl-2,ASnhl-12,Byng-1,Hart-9,Ross-1"
Steven Stamkos,22,TBL,C,48,29,28,57,-4,32,19,10,0,2,20,8,0,157,18.5,287,1057:06,22:01,406,413,49.6,17,63,24,31,"ASnhl-3,ASnhl-6,Byng-61,Hart-8"
Sidney Crosby,25,PIT,C,36,15,41,56,26,16,12,3,0,1,27,14,0,124,12.1,203,759:45,21:06,453,381,54.3,18,21,15,28,"ASnhl-1,Byng-33,Hart-2,Selke-15,Pearson-1"
Alex Ovechkin,27,WSH,RW,48,32,24,56,2,36,16,16,0,4,13,11,0,220,14.5,441,1002:27,20:53,0,1,0.0,18,120,30,25,"ASnhl-1,ASnhl-2,Hart-1,Richard-1"
Patrick Kane,24,CHI,RW,47,23,32,55,11,8,15,8,0,3,23,9,0,138,16.7,237,942:38,20:03,2,8,20.0,9,11,36,25,"ASnhl-3,ASnhl-12,Byng-2,Hart-6,Selke-25"
Eric Staal,28,CAR,C,48,18,35,53,5,54,14,3,1,4,29,6,0,152,11.8,270,1007:48,20:60,527,487,52.0,24,35,48,24,"ASnhl-7,Byng-62,Hart-23,Selke-16"
Phil Kessel,25,TOR,RW,48,20,32,52,-3,18,14,6,0,4,17,15,0,161,12.4,313,950:53,19:49,5,3,62.5,23,16,25,45,"ASnhl-4,Byng-18"
Chris Kunitz,33,PIT,LW,48,22,30,52,30,39,13,9,0,5,23,7,0,113,19.5,196,865:04,18:01,4,5,44.4,13,104,13,17,"ASnhl-1,Hart-16,Selke-13"
Taylor Hall,21,EDM,LW,45,16,34,50,5,33,12,4,0,4,24,10,0,154,10.4,258,837:55,18:37,29,24,54.7,20,24,31,29,ASnhl-3
Pavel Datsyuk,34,DET,C,47,15,34,49,21,14,7,8,0,6,23,8,3,107,14.0,217,948:31,20:11,488,399,55.0,30,31,56,38,"ASnhl-5,Byng-4,Hart-10,Selke-3"
Ryan Getzlaf,27,ANA,C,44,15,34,49,14,41,8,4,3,3,23,11,0,99,15.2,180,888:31,20:12,355,384,48.0,42,89,27,31,"ASnhl-6,ASnhl-15,Hart-7,Selke-18"
Mike Ribeiro,32,WSH,C,48,13,36,49,-4,53,7,6,0,1,15,21,0,63,20.6,99,856:00,17:50,226,279,44.8,29,55,22,22,
Nicklas Bäckström,25,WSH,C,48,8,40,48,8,20,5,3,0,1,25,15,0,82,9.8,156,955:14,19:54,432,408,51.4,35,31,33,26,"Byng-27,Selke-23"
Claude Giroux,25,PHI,RW,48,13,35,48,-7,22,6,6,1,2,20,15,0,137,9.5,266,1016:14,21:10,644,538,54.5,29,57,17,30,"ASnhl-8,ASnhl-15,Byng-53"
Jonathan Toews,24,CHI,C,47,23,25,48,28,27,19,2,2,5,20,4,1,143,16.1,224,909:05,19:21,559,374,59.9,16,24,56,16,"ASnhl-2,Byng-37,Hart-4,Selke-1"
Henrik Zetterberg,32,DET,C,46,11,37,48,2,18,5,4,2,5,18,19,0,173,6.4,278,944:03,20:31,263,281,48.3,10,20,29,27,"ASnhl-4,ASnhl-10,Byng-28,Hart-22,Selke-14"
John Tavares,22,NYI,C,48,28,19,47,-2,18,19,9,0,5,12,7,0,162,17.3,288,997:11,20:46,459,471,49.4,22,33,27,44,"ASnhl-4,Byng-16,Hart-3,Selke-25"
Andrew Ladd,27,WPG,LW,48,18,28,46,10,22,15,3,0,4,25,3,0,121,14.9,227,944:40,19:41,29,25,53.7,26,98,25,16,"ASnhl-5,Byng-38,Selke-20"
Jakub Voráček,23,PHI,RW,48,22,24,46,-7,35,14,8,0,3,15,9,0,129,17.1,216,827:24,17:14,2,3,40.0,12,20,21,25,"ASnhl-7,ASnhl-16"
Henrik Sedin,32,VAN,C,48,11,34,45,19,24,9,1,1,1,22,12,0,70,15.7,114,928:41,19:21,440,451,49.4,9,22,21,19,"ASnhl-9,Byng-24,Hart-14,Selke-24"
Nazem Kadri,22,TOR,C,48,18,26,44,15,23,13,5,0,1,23,3,0,107,16.8,206,770:30,16:03,250,315,44.2,22,62,23,30,Selke-38
Matt Moulson,29,NYI,LW,47,15,29,44,-3,4,7,8,0,0,22,7,0,154,9.7,256,900:19,19:09,1,0,100.0,28,24,20,15,"ASnhl-9,Byng-3"
Alexander Semin,28,CAR,LW,44,13,31,44,14,46,9,4,0,1,25,5,1,150,8.7,323,921:29,20:57,5,16,23.8,21,14,46,35,ASnhl-10
Derek Stepan,22,NYR,C,48,18,26,44,25,12,13,4,1,6,17,6,3,108,16.7,208,1004:17,20:55,448,529,45.9,28,52,34,22,"Byng-7,Selke-9"
Matt Duchene,22,COL,C,47,17,26,43,-12,12,15,2,0,3,18,7,1,132,12.9,214,983:16,20:55,488,405,54.6,47,48,44,24,"ASnhl-11,Byng-26,Selke-21"
P.A. Parenteau,29,COL,LW,48,18,25,43,-11,38,12,6,0,1,18,7,0,105,17.1,174,919:02,19:09,1,12,7.7,14,50,40,29,ASnhl-15
Anže Kopitar,25,LAK,C,47,10,32,42,14,16,10,0,0,1,16,16,0,98,10.2,178,962:31,20:29,473,415,53.3,25,70,27,35,"ASnhl-11,Byng-14,Selke-4"
Rick Nash,28,NYR,LW,44,21,21,42,16,26,17,3,1,3,15,6,0,176,11.9,279,878:42,19:58,5,7,41.7,25,46,19,32,"ASnhl-6,ASnhl-11"
Thomas Vanek,29,BUF,LW,38,20,21,41,-1,20,10,9,1,2,16,5,0,119,16.8,200,699:25,18:24,8,4,66.7,4,13,34,30,ASnhl-8
Blake Wheeler,26,WPG,RW,48,19,22,41,-3,28,17,2,0,2,17,5,0,129,14.7,228,902:25,18:48,4,14,22.2,39,90,28,20,ASnhl-15
Daniel Sedin,32,VAN,LW,47,12,28,40,12,18,9,3,0,3,19,9,0,138,8.7,221,894:00,19:01,3,4,42.9,7,15,16,21,ASnhl-7
Joe Thornton,33,SJS,C,48,7,33,40,6,26,5,2,0,1,14,19,0,85,8.2,136,882:09,18:23,410,291,58.5,21,23,37,42,Selke-45
Max Pacioretty,24,MTL,LW,44,15,24,39,8,28,11,4,0,0,16,8,0,163,9.2,277,726:25,16:31,2,5,28.6,16,59,24,12,
Pascal Dupuis,33,PIT,LW,48,20,18,38,31,26,17,2,1,2,17,1,0,140,14.3,258,840:20,17:30,27,30,47.4,36,83,29,13,"ASnhl-5,ASnhl-14,Byng-46,Hart-23,Selke-7"
Sam Gagner,23,EDM,C,48,14,24,38,-6,23,10,4,0,1,11,11,2,113,12.4,193,931:45,19:25,325,416,43.9,22,35,23,26,
Kris Letang,25,PIT,D,35,5,33,38,16,8,4,1,0,1,21,12,0,95,5.3,184,897:16,25:38,0,0,,59,45,12,34,"ASnhl-3,Byng-6,Norris-3"
Zach Parise,28,MIN,C,48,18,20,38,2,16,11,7,0,4,14,6,0,182,9.9,263,992:00,20:40,3,6,33.3,41,59,24,16,"ASnhl-10,Byng-23,Hart-23,Selke-45"
P.K. Subban,23,MTL,D,42,11,27,38,12,57,4,7,0,0,8,19,0,126,8.7,247,976:15,23:15,0,0,,49,51,10,42,"ASnhl-1,Hart-13,Norris-1"
Jiří Tlustý,24,CAR,C,48,23,15,38,15,18,19,4,0,3,11,4,0,117,19.7,194,875:47,18:15,3,15,16.7,41,53,22,21,Selke-35
Logan Couture,23,SJS,C,48,21,16,37,7,4,14,7,0,5,10,5,1,151,13.9,263,868:39,18:06,252,237,51.5,51,32,31,22,"Byng-5,Selke-19"
Jordan Eberle,22,EDM,C,48,16,21,37,-4,16,13,3,0,3,15,6,0,133,12.0,204,911:46,18:60,8,11,42.1,16,31,28,32,Byng-45
Mikko Koivu,29,MIN,C,48,11,26,37,2,26,11,0,0,3,13,13,0,127,8.7,247,1012:39,21:06,524,447,54.0,18,47,26,19,Selke-17
Patrik Eliáš,36,NJD,LW,48,14,22,36,5,22,8,5,1,0,13,9,0,118,11.9,210,898:32,18:43,71,92,43.6,14,20,26,21,
Brad Marchand,24,BOS,C,45,18,18,36,23,27,12,4,2,5,18,0,0,91,19.8,157,763:24,16:58,6,6,50.0,20,38,28,32,"ASnhl-11,Selke-43"
